brandId,brandName,cappedPrice,category1,category1Name,category2,category2Name,category3,category3Name,currentPrice,endTime,id,maxPrice,minPrice,primaryPic,productName,productType,quality,recordCount,reminding,shopId,shopName,size,spectatorCount,startPrice,startTime,status,usedNo
296110,考拉妈妈（kolamama）,99.0,1319,母婴,1527,洗护用品,1559,洗护用品,41.0,1559058120000,114536081,99.0,1.0,jfs/t23047/259/1727671710/116990/630dbe86/5b682505N30ee9b9d.jpg,考拉妈妈(kolamama)湿巾加热器 便携式低功率宝宝恒温湿纸巾加热盒 甜心粉,1,9成新,8,0,,,,203,1.0,1559055420000,2,87099690901
6742,飞利浦（PHILIPS）,299.0,737,家用电器,1276,个护健康,741,个护健康,82.0,1559058120000,114537547,200.0,1.0,jfs/t1/3699/5/15480/118525/5bdf0892Ee3a11239/79acdce4831ade9d.jpg,飞利浦（PHILIPS）电动牙刷HX6511充电式成人声波震动牙刷,1,9成新,11,0,,,,269,1.0,1559055420000,2,3611320901
6742,飞利浦（PHILIPS）,449.0,737,家用电器,738,生活电器,745,生活电器,250.0,1559058120000,114537762,200.0,1.0,jfs/t22198/129/362653453/91416/1b2f6c94/5b0b83dfNba71b3c5.jpg,飞利浦(PHILIPS)吸尘器FC8471/81家用无尘袋大功率(星空蓝),1,9成新,4,0,,,,195,1.0,1559055420000,2,11216980901
18374,小米（MI）,199.0,652,数码,828,影音娱乐,841,影音娱乐,50.0,1559058120000,114538579,199.0,1.0,jfs/t19180/34/1775045698/73382/8ab9597e/5ad83d96N8e913941.jpg,小米（MI）小米小爱音箱mini 白色 智能音箱 听音乐语音遥控家电 人工智能音箱,1,7成新,17,0,,,,640,1.0,1559055420000,2,73433250701
6742,飞利浦（PHILIPS）,319.0,737,家用电器,1276,个护健康,739,个护健康,105.0,1559058130000,114534882,200.0,1.0,jfs/t1/38967/40/411/77063/5cb96921E2801a398/f32e1c29de211110.jpg,飞利浦（PHILIPS）电动剃须刀 干湿双剃 防水刮胡刀 AT800/16,1,9成新,18,0,,,,212,1.0,1559055430000,2,14308340901
6742,飞利浦（PHILIPS）,999.0,737,家用电器,752,厨房小电,13116,厨房小电,303.0,1559058170000,114534902,400.0,1.0,jfs/t19861/92/1132319800/81972/bec3d31d/5b16204cN75cfa148.jpg,飞利浦（PHILIPS）家用大口径慢速螺旋压榨式原汁机 慢汁机 多汁 多功能 HR1889/71,1,9成新,9,0,,,,373,1.0,1559055470000,2,72827480901
18374,小米（MI）,309.0,670,电脑、办公,699,网络产品,11304,网络产品,200.0,1559058180000,114537947,200.0,1.0,jfs/t15610/19/2016315278/49207/5188d542/5a70208eNe58804fe.jpg,小米（MI）小米盒子4 智能网络电视机顶盒 4K电视 H.265硬解 安卓网络盒子 高清网络播放器 HDR 白色,1,7成新,3,0,,,,579,1.0,1559055480000,2,63099500701
184389,米家（MIJIA）,199.0,652,数码,12345,智能设备,12353,智能设备,151.0,1559058180000,114539275,199.0,1.0,jfs/t21283/159/139770774/76106/55ec952/5afe8482N738b719c.jpg,小米米家（MIJIA）智能摄像机 云台版 白色 1080P,1,9成新,9,0,,,,643,1.0,1559055480000,2,76519250901
299330,京东京造,199.0,1315,服饰内衣,1343,女装,9715,女装,9.0,1559058180000,114536021,199.0,1.0,jfs/t1/39504/38/67/232871/5cb8416fEedf54443/cec8dfdde6d9d14b.jpg,京造 女士火山岩保暖高腰小脚牛仔裤 深蓝色 29(165/72A),1,9成新,9,0,,,29(165/72A),207,1.0,1559055480000,2,87824630901
19028,亚瑟士（asics）,1189.0,1318,运动户外,12099,运动鞋包,9756,运动鞋包,193.0,1559058180000,114536592,600.0,1.0,jfs/t19102/322/1269751549/220113/556d538b/5ac30fa7N14f51a21.jpg,ASICS亚瑟士春夏GEL-KENUN KNIT男T832N-3090跑鞋 黑色  39,1,7成新,8,0,,,39,298,1.0,1559055180000,2,70460010701
